"","Gene","Target","ex2_GFP_Rep1_Chip21","ex2_GFP_Rep2_Chip21","ex2_GFP_polyIC_Rep1_Chip21","ex2_GFP_polyIC_Rep2_Chip21","ex2_NS5_Rep1_Chip21","ex2_NS5_Rep2_Chip21","ex2_NS5_polyIC_Rep1_Chip21","ex2_NS5_polyIC_Rep2_Chip21","COSMIC_CGC_FLAG","NCBI_NAME","HGNC_SYMBOL_ACC","ENTREZ_GENE_ID","U133PLUS2_PSID","MIM_MORBID_DESCRIPTION"
"ADAMTS7","ADAMTS7","AMPL25163880",18,23,11,17,33,36,8,18,0,"ADAM_metallopeptidase_with_thrombospondin_type_1_motif__7","223","11173","220705_s_at,220706_at,228911_at","."
"ADAMTSL5","ADAMTSL5","AMPL22467937",6,12,17,14,12,8,11,18,0,"ADAMTS-like_5","27912","339366","242200_at","."
"ADAP1","ADAP1","AMPL13089332",8,12,11,6,8,8,2,11,0,"ArfGAP_with_dual_PH_domains_1","16486","11033","219150_s_at,90265_at","."
"ADAP2","ADAP2","AMPL33363107",5,18,8,8,9,12,5,8,0,"ArfGAP_with_dual_PH_domains_2","16487","55803","219358_s_at,222876_s_at","."
"ADAR","ADAR","AMPL2034972",1481,1474,3053,2771,2056,2105,1738,1998,0,"adenosine_deaminase__RNA-specific","225","103","201786_s_at","AICARDI-GOUTIERES_SYNDROME_6__AGS6,DYSCHROMATOSIS_SYMMETRICA_HEREDITARIA__DSH"
"ADARB1","ADARB1","AMPL31054623",5,7,11,8,12,11,2,7,0,"adenosine_deaminase__RNA-specific__B1","226","104","203865_s_at,207999_s_at,209979_at,234799_at","."
"ADAT1","ADAT1","AMPL13349119",67,85,58,54,65,59,63,70,0,"adenosine_deaminase__tRNA-specific_1","228","23536","219384_s_at","."
"ADAT2","ADAT2","AMPL22520040",21,16,34,29,13,24,42,33,0,"adenosine_deaminase__tRNA-specific_2","21172","134637","227213_at,236817_at","."
"ADCK1","ADCK1","AMPL31264949",28,17,18,8,18,12,14,9,0,"aarF_domain_containing_kinase_1","19038","57143","227482_at","."
"ADCK2","ADCK2","AMPL16627291",60,67,75,47,54,45,43,63,0,"aarF_domain_containing_kinase_2","19039","90956","221893_s_at,221894_at,222117_s_at,44120_at","."
"ADCK3","ADCK3","AMPL31812770",37,38,31,33,46,46,30,25,0,"aarF_domain_containing_kinase_3","16812","56997","204262_s_at,211373_s_at,218168_s_at,222542_x_at","COENZYME_Q10_DEFICIENCY__PRIMARY__4__COQ10D4"
"ADCK4","ADCK4","AMPL13847655",117,104,114,150,148,131,93,117,0,"aarF_domain_containing_kinase_4","19041","79934","220434_at,227324_at","."
"ADCK5","ADCK5","AMPL17892963",19,12,18,10,14,9,17,10,0,"aarF_domain_containing_kinase_5","21738","203054","228524_at","."
"ADCY3","ADCY3","AMPL28097297",146,128,95,92,100,139,80,86,0,"adenylate_cyclase_3","234","109","209320_at,209321_s_at","."
"ADCY6","ADCY6","AMPL26296751",36,49,54,56,63,34,37,34,0,"adenylate_cyclase_6","237","112","209195_s_at,216743_at","."
"ADCY7","ADCY7","AMPL1616634",94,90,71,90,100,132,57,61,0,"adenylate_cyclase_7","238","113","1554827_a_at,203741_s_at","."
"ADCY9","ADCY9","AMPL5027590",47,50,42,22,56,35,17,26,0,"adenylate_cyclase_9","240","115","204497_at,204498_s_at,215400_x_at","."
"ADD1","ADD1","AMPL25603913",327,312,269,280,310,335,211,183,0,"adducin_1__alpha","243","118","208030_s_at,214726_x_at,214736_s_at,238939_at","."
"ADD2","ADD2","AMPL6645050",181,175,146,211,200,187,129,158,0,"adducin_2__beta","244","119","205268_s_at,206807_s_at,213484_at,230988_at,237336_at,239530_at","."
"ADD3","ADD3","AMPL32129789",52,41,39,23,25,42,32,26,0,"adducin_3__gamma","245","120","201034_at,201752_s_at,201753_s_at,205882_x_at","."
"ADH5","ADH5","AMPL4966163",766,850,644,695,714,820,1055,1230,0,"alcohol_dehydrogenase_5__class_III__chi_polypeptide","253","128","208847_s_at,208848_at,237121_at","."
"ADI1","ADI1","AMPL31866011",419,509,456,480,596,916,662,540,0,"acireductone_dioxygenase_1","30576","55256","217761_at,222400_s_at,241443_at","."
"ADIPOR1","ADIPOR1","AMPL31695533",151,212,149,170,176,167,203,210,0,"adiponectin_receptor_1","24040","51094","217748_at","."
"ADIPOR2","ADIPOR2","AMPL35355444",408,342,378,390,346,359,263,227,0,"adiponectin_receptor_2","24041","79602","201346_at","."
"ADK","ADK","AMPL12034667",75,64,36,42,84,59,63,34,0,"adenosine_kinase","257","132","204119_s_at,204120_s_at","HYPERMETHIONINEMIA_DUE_TO_ADENOSINE_KINASE_DEFICIENCY"
"ADM","ADM","AMPL2397925",453,605,1066,1068,1030,932,895,771,0,"adrenomedullin","259","133","202912_at","."
"ADNP","ADNP","AMPL17440967",174,169,190,203,193,260,164,168,0,"activity-dependent_neuroprotector_homeobox","15766","23394","201773_at,226426_at","."
"ADNP2","ADNP2","AMPL25205542",231,219,415,444,316,486,291,275,0,"ADNP_homeobox_2","23803","22850","203321_s_at,203322_at","."
"ADO","ADO","AMPL18387740",75,111,125,117,140,91,121,143,0,"2-aminoethanethiol__cysteamine__dioxygenase","23506","84890","212500_at,212502_at","."
"ADORA2B","ADORA2B","AMPL6301037",44,44,34,25,33,41,53,44,0,"adenosine_A2b_receptor","264","136","205891_at","."
"ADPGK","ADPGK","AMPL14718156",109,102,129,79,114,121,96,108,0,"ADP-dependent_glucokinase","25250","83440","220980_s_at,224455_s_at","."
"ADPRH","ADPRH","AMPL2398335",10,11,5,11,9,6,4,2,0,"ADP-ribosylarginine_hydrolase","269","141","207863_at,228042_at,238505_at","."
"ADPRHL1","ADPRHL1","AMPL36516773",45,36,20,16,46,35,28,19,0,"ADP-ribosylhydrolase_like_1","21303","113622","1553163_at,238054_at","."
"ADPRHL2","ADPRHL2","AMPL33097884",30,29,64,50,46,52,48,76,0,"ADP-ribosylhydrolase_like_2","21304","54936","223097_at","."
"ADRA1B","ADRA1B","AMPL6138108",10,17,11,12,12,4,3,9,0,"adrenoceptor_alpha_1B","278","147","207589_at","."
"ADRA1D","ADRA1D","AMPL2289385",12,7,19,16,3,7,12,13,0,"adrenoceptor_alpha_1D","280","146","210960_at,210961_s_at","."
"ADRA2C","ADRA2C","AMPL5645348",17,16,36,25,20,23,41,46,0,"adrenoceptor_alpha_2C","283","152","206128_at","."
"ADRBK1","ADRBK1","AMPL11597563",71,72,78,84,94,84,59,75,0,"adrenergic__beta__receptor_kinase_1","289","156","201401_s_at,201402_at,38447_at","."
"ADRBK2","ADRBK2","AMPL29216041",19,17,21,10,17,34,12,11,0,"adrenergic__beta__receptor_kinase_2","290","157","204183_s_at,204184_s_at,228771_at","."
"ADRM1","ADRM1","AMPL18086059",463,442,626,536,486,478,369,505,0,"adhesion_regulating_molecule_1","15759","11047","201281_at","."
"ADSL","ADSL","AMPL4380658",649,694,562,561,554,517,846,1079,0,"adenylosuccinate_lyase","291","158","202144_s_at,210250_x_at","ADENYLOSUCCINASE_DEFICIENCY"
"ADSS","ADSS","AMPL2610798",203,212,204,221,176,261,323,251,0,"adenylosuccinate_synthase","292","159","221761_at","."
"AEBP2","AEBP2","AMPL3165160",317,284,330,283,262,304,258,275,0,"AE_binding_protein_2","24051","121536","225889_at,235184_at","."
"AEN","AEN","AMPL36284041",197,177,304,323,316,296,184,232,0,"apoptosis_enhancing_nuclease","25722","64782","219361_s_at","."
"AES","AES","AMPL22022435",827,778,750,878,910,774,506,624,0,"amino-terminal_enhancer_of_split","307","166","217729_s_at","."
"AFAP1","AFAP1","AMPL4237008",165,172,204,214,184,239,113,200,0,"actin_filament_associated_protein_1","24017","60312","203563_at","."
"AFAP1L1","AFAP1L1","AMPL34860758",9,20,9,11,22,15,10,8,0,"actin_filament_associated_protein_1-like_1","26714","134265","1555542_at,226955_at","."
"AFAP1L2","AFAP1L2","AMPL4882856",68,83,23,28,43,71,38,40,0,"actin_filament_associated_protein_1-like_2","25901","84632","226829_at","."
"AFF1","AFF1","AMPL10005698",166,124,157,137,166,122,90,102,0,"AF4_FMR2_family__member_1","7135","4299","201924_at,211826_s_at,215451_s_at","."
"AFF4","AFF4","AMPL25847116",512,521,534,564,445,499,490,459,0,"AF4_FMR2_family__member_4","17869","27125","1555435_at,1555436_a_at,219199_at,225229_at,232864_s_at,232865_at,239439_at,243487_at,244628_at","."
"AFG3L2","AFG3L2","AMPL13261477",139,127,132,113,140,123,198,158,0,"AFG3-like_AAA_ATPase_2","315","10939","1557820_at,202486_at,232919_at","SPASTIC_ATAXIA_5__AUTOSOMAL_RECESSIVE__SPAX5,SPINOCEREBELLAR_ATAXIA_28__SCA28"
"AFTPH","AFTPH","AMPL22206471",149,155,168,169,206,210,161,149,0,"aftiphilin","25951","54812","217939_s_at,222472_at","."
"AGA","AGA","AMPL4009477",107,127,51,59,100,92,69,115,0,"aspartylglucosaminidase","318","175","204332_s_at,204333_s_at,216064_s_at","ASPARTYLGLUCOSAMINURIA__AGU"
"AGAP1","AGAP1","AMPL2731179",74,67,51,42,77,74,37,32,0,"ArfGAP_with_GTPase_domain__ankyrin_repeat_and_PH_domain_1","16922","116987","204066_s_at,228240_at,235968_at","."
"AGAP3","AGAP3","AMPL14767362",88,127,112,102,120,92,48,66,0,"ArfGAP_with_GTPase_domain__ankyrin_repeat_and_PH_domain_3","16923","116988","225789_at,231299_at,239026_x_at","."
"AGAP5","AGAP5","AMPL3505752",17,20,22,17,25,12,8,12,0,"ArfGAP_with_GTPase_domain__ankyrin_repeat_and_PH_domain_5","23467","101060581,119016,119385,728127,728404,729092","221850_x_at,221971_x_at","."
"AGAP6","AGAP6","AMPL3506164",15,33,22,26,39,19,22,23,0,"ArfGAP_with_GTPase_domain__ankyrin_repeat_and_PH_domain_6","23466","101060581,119016,414189,728404","221850_x_at,221971_x_at","."
"AGBL2","AGBL2","AMPL14857508",6,6,19,8,7,13,7,8,0,"ATP_GTP_binding_protein-like_2","26296","79841","220390_at","."
"AGBL5","AGBL5","AMPL37012619",64,63,42,51,65,62,59,72,0,"ATP_GTP_binding_protein-like_5","26147","60509","218480_at,231857_s_at,238889_at","."
"AGFG2","AGFG2","AMPL28690605",88,79,77,68,59,54,44,58,0,"ArfGAP_with_FG_repeats_2","5177","3268","1554618_at,206821_x_at,217450_at,222126_at,222362_at","."
"AGGF1","AGGF1","AMPL34146544",164,194,120,115,145,118,138,131,0,"angiogenic_factor_with_G_patch_and_FHA_domains_1","24684","55109","208042_at,218534_s_at,222661_at","KLIPPEL-TRENAUNAY-WEBER_SYNDROME"
"AGL","AGL","AMPL4466477",67,61,36,33,47,44,36,30,0,"amylo-alpha-1__6-glucosidase__4-alpha-glucanotransferase","321","178","203566_s_at","GLYCOGEN_STORAGE_DISEASE_III"
"AGMAT","AGMAT","AMPL14242026",40,54,37,33,42,34,50,45,0,"agmatine_ureohydrolase__agmatinase","18407","79814","221648_s_at,222930_s_at","."
"AGMO","AGMO","AMPL4169357",23,22,20,28,22,26,16,22,0,"alkylglycerol_monooxygenase","33784","392636",".","."
"AGPAT1","AGPAT1","AMPL27753774",207,211,196,124,258,195,107,162,0,"1-acylglycerol-3-phosphate_O-acyltransferase_1","324","10554","215535_s_at,32836_at","."
"AGPAT2","AGPAT2","AMPL28923039",125,133,101,123,137,96,62,69,0,"1-acylglycerol-3-phosphate_O-acyltransferase_2","325","10555","210678_s_at,32837_at","LIPODYSTROPHY__CONGENITAL_GENERALIZED__TYPE_1__CGL1"
"AGPAT3","AGPAT3","AMPL30912219",96,75,87,61,94,100,61,51,0,"1-acylglycerol-3-phosphate_O-acyltransferase_3","326","56894","219723_x_at,223182_s_at,223183_at,223184_s_at,224282_s_at,225440_at","."
"AGPAT5","AGPAT5","AMPL33369922",196,202,114,106,184,209,192,161,0,"1-acylglycerol-3-phosphate_O-acyltransferase_5","20886","55326","218096_at,232007_at","."
"AGPAT6","AGPAT6","AMPL17450889",168,156,151,137,141,139,146,143,0,"1-acylglycerol-3-phosphate_O-acyltransferase_6","20880","137964","224776_at,229577_at","."
"AGPAT9","AGPAT9","AMPL16883513",200,185,166,185,126,142,311,310,0,"1-acylglycerol-3-phosphate_O-acyltransferase_9","28157","84803","224480_s_at","."
"AGPHD1","AGPHD1","AMPL808111",42,38,27,28,33,30,24,23,0,".",".",".",".","."
"AGPS","AGPS","AMPL7233191",303,328,371,319,320,472,354,343,0,"alkylglycerone_phosphate_synthase","327","8540","205401_at,225108_at,225113_at,225114_at","RHIZOMELIC_CHONDRODYSPLASIA_PUNCTATA__TYPE_3__RCDP3"
"AGR2","AGR2","AMPL29807822",3256,3037,3182,2576,2832,2508,3973,4157,0,"anterior_gradient_2","328","10551","209173_at,228969_at","."
"AGRN","AGRN","AMPL22072684",207,206,383,379,357,314,172,228,0,"agrin","329","375790","212283_at,212285_s_at,217419_x_at","MYASTHENIA__LIMB-GIRDLE__FAMILIAL"
"AGTPBP1","AGTPBP1","AMPL24193581",87,81,55,56,48,94,33,32,0,"ATP_GTP_binding_protein_1","17258","23287","204500_s_at","."
"AGTRAP","AGTRAP","AMPL32908210",353,290,234,208,461,327,247,260,0,"angiotensin_II_receptor-associated_protein","13539","57085","1555736_a_at,225059_at,238135_at","."
"AGXT2L2","AGXT2L2","AMPL17815321",9,11,14,3,11,22,11,8,0,".",".",".",".","."
"AHCTF1","AHCTF1","AMPL24502432",174,170,140,125,167,169,261,212,0,"AT_hook_containing_transcription_factor_1","24618","25909","1560224_at,214766_s_at,226115_at","."
"AHCY","AHCY","AMPL6513225",617,690,551,512,620,552,493,505,0,"adenosylhomocysteinase","343","191","200903_s_at","HYPERMETHIONINEMIA_WITH_S-ADENOSYLHOMOCYSTEINE_HYDROLASE_DEFICIENCY"
"AHCYL1","AHCYL1","AMPL12531693",426,351,366,366,388,413,322,359,0,"adenosylhomocysteinase-like_1","344","10768","200848_at,200849_s_at,200850_s_at","."
"AHCYL2","AHCYL2","AMPL25697829",59,65,62,77,60,68,59,48,0,"adenosylhomocysteinase-like_2","22204","23382","212814_at,215672_s_at","."
"AHDC1","AHDC1","AMPL1057102",14,20,14,24,7,9,4,5,0,"AT_hook__DNA_binding_motif__containing_1","25230","27245","205002_at,243793_at","."
"AHI1","AHI1","AMPL1942925",95,106,78,108,100,119,108,122,0,"Abelson_helper_integration_site_1","21575","54806","220841_s_at,220842_at,221569_at,244699_at","JOUBERT_SYNDROME_3__JBTS3"
"AHNAK","AHNAK","AMPL9665905",93,91,95,65,109,88,45,51,0,"AHNAK_nucleoprotein","347","79026","211986_at,220016_at,235281_x_at","."
"AHNAK2","AHNAK2","AMPL15925511",580,578,348,300,601,503,184,224,0,"AHNAK_nucleoprotein_2","20125","113146","1558378_a_at,212992_at","."
"AHR","AHR","AMPL8460815",141,130,191,178,167,165,207,163,0,"aryl_hydrocarbon_receptor","348","196","202820_at","."
"AHSA1","AHSA1","AMPL12442651",904,828,791,799,656,781,1022,943,0,"AHA1__activator_of_heat_shock_90kDa_protein_ATPase_homolog_1__yeast","1189","10598","201491_at","."
"AHSA2","AHSA2","AMPL35815659",250,212,218,152,154,196,209,244,0,"AHA1__activator_of_heat_shock_90kDa_protein_ATPase_homolog_2__yeast","20437","130872","212980_at,226334_s_at,226665_at,230148_at","."
"AIDA","AIDA","AMPL37166408",505,557,464,446,596,618,585,533,0,"axin_interactor__dorsalization_associated","25761","64853","220199_s_at,226801_s_at","."
"AIFM1","AIFM1","AMPL29053334",302,356,276,311,412,361,295,348,0,"apoptosis-inducing_factor__mitochondrion-associated__1","8768","9131","205512_s_at","COMBINED_OXIDATIVE_PHOSPHORYLATION_DEFICIENCY_6__COXPD6,COWCHOCK_SYNDROME__COWCK"
"AIFM2","AIFM2","AMPL18491011",49,45,47,55,31,29,54,77,0,"apoptosis-inducing_factor__mitochondrion-associated__2","21411","84883","224461_s_at,228445_at","."
"AIG1","AIG1","AMPL31828308",77,78,53,44,55,60,56,86,0,"androgen-induced_1","21607","51390","216179_x_at,223136_at,230520_at,232810_at","."
"AIMP1","AIMP1","AMPL3072893",383,435,353,379,366,450,539,579,0,"aminoacyl_tRNA_synthetase_complex-interacting_multifunctional_protein_1","10648","9255","202541_at,202542_s_at,227605_at","LEUKODYSTROPHY__HYPOMYELINATING__3__HLD3"
"AIMP2","AIMP2","AMPL29395832",493,545,575,530,590,512,675,852,0,"aminoacyl_tRNA_synthetase_complex-interacting_multifunctional_protein_2","20609","7965","202138_x_at,209971_x_at","."
"AIP","AIP","AMPL30349915",146,166,121,122,113,115,183,182,0,"aryl_hydrocarbon_receptor_interacting_protein","358","9049","201781_s_at,201782_s_at","PITUITARY_ADENOMA__ACTH-SECRETING,PITUITARY_ADENOMA__GROWTH_HORMONE-SECRETING,PITUITARY_ADENOMA__PROLACTIN-SECRETING"
"AJUBA","AJUBA","AMPL17925147",299,364,425,341,453,427,252,284,0,"ajuba_LIM_protein","20250","84962","1553764_a_at,225806_at,225807_at,243446_at","."
"AK1","AK1","AMPL4829123",212,223,168,162,312,252,193,211,0,"adenylate_kinase_1","361","203","202587_s_at,202588_at","ADENYLATE_KINASE_DEFICIENCY__HEMOLYTIC_ANEMIA_DUE_TO"
"AK2","AK2","AMPL9337370",432,450,434,443,444,424,653,658,0,"adenylate_kinase_2","362","204","205996_s_at,208967_s_at,212172_at,212173_at,212174_at,212175_s_at","RETICULAR_DYSGENESIS"
"AK3","AK3","AMPL31565962",415,326,209,237,453,388,267,290,0,"adenylate_kinase_3","17376","50808","224151_s_at,224655_at","."
"AK4","AK4","AMPL21206662",78,94,87,76,108,72,82,76,0,"adenylate_kinase_4","363","100507855,205","204347_at,204348_s_at,225342_at,230630_at","."
"AK5","AK5","AMPL15584976",14,25,11,12,19,13,15,13,0,"adenylate_kinase_5","365","26289","219308_s_at,222862_s_at","."
"AKAP1","AKAP1","AMPL8939013",124,127,122,121,93,73,191,199,0,"A_kinase__PRKA__anchor_protein_1","367","8165","201674_s_at,201675_at,210625_s_at,210626_at","."
"AKAP10","AKAP10","AMPL12843172",158,165,165,172,175,200,268,202,0,"A_kinase__PRKA__anchor_protein_10","368","11216","205045_at,213396_s_at,236006_s_at,236007_at","CARDIAC_CONDUCTION_DEFECT"
"AKAP11","AKAP11","AMPL31919600",132,115,113,98,121,119,66,85,0,"A_kinase__PRKA__anchor_protein_11","369","11215","203156_at","."
"AKAP12","AKAP12","AMPL28324222",279,396,387,375,331,364,528,444,0,"A_kinase__PRKA__anchor_protein_12","370","9590","210517_s_at,227529_s_at,227530_at","."
"AKAP13","AKAP13","AMPL12807121",153,157,138,145,132,139,102,113,0,"A_kinase__PRKA__anchor_protein_13","371","11214","208325_s_at,209534_x_at,221718_s_at,222024_s_at,224884_at,227039_at","."
"AKAP17A","AKAP17A","AMPL29936839",216,208,328,356,303,301,219,236,0,"A_kinase__PRKA__anchor_protein_17A","18783","8227","203624_at,210269_s_at,228447_at","."
"AKAP7","AKAP7","AMPL33749638",21,10,24,27,29,16,31,39,0,"A_kinase__PRKA__anchor_protein_7","377","9465","205771_s_at,211172_x_at","."
"AKAP8","AKAP8","AMPL27810382",154,151,161,160,180,132,143,179,0,"A_kinase__PRKA__anchor_protein_8","378","10270","203847_s_at,203848_at","."
"AKAP8L","AKAP8L","AMPL24571698",144,160,243,204,171,179,135,194,0,"A_kinase__PRKA__anchor_protein_8-like","29857","26993","215741_x_at,218064_s_at,222160_at,227691_at,240554_at","."
"AKAP9","AKAP9","AMPL29548032",63,89,38,35,86,90,73,78,1,"A_kinase__PRKA__anchor_protein_9","379","10142","207870_at,210962_s_at,215483_at","LONG_QT_SYNDROME_11__LQT11"
"AKIP1","AKIP1","AMPL31141810",166,145,143,136,198,157,190,215,0,"A_kinase__PRKA__interacting_protein_1","1170","56672","219953_s_at,242515_x_at","."
"AKIRIN1","AKIRIN1","AMPL14328752",331,319,485,528,486,520,489,541,0,"akirin_1","25744","79647","217893_s_at,222458_s_at,222459_at","."
"AKIRIN2","AKIRIN2","AMPL32201952",82,122,109,104,138,144,103,128,0,"akirin_2","21407","55122","223143_s_at,223144_s_at,223145_s_at","."
"AKNA","AKNA","AMPL14940928",11,2,10,14,7,5,7,8,0,"AT-hook_transcription_factor","24108","80709","1558565_at,225701_at","."
"AKR1A1","AKR1A1","AMPL18343519",460,435,317,249,349,287,408,400,0,"aldo-keto_reductase_family_1__member_A1__aldehyde_reductase","380","10327","201900_s_at","."
"AKR1B1","AKR1B1","AMPL11229510",5247,5869,2783,2176,4401,3738,4097,3442,0,"aldo-keto_reductase_family_1__member_B1__aldose_reductase","381","231","201272_at","."
"AKR1B10","AKR1B10","AMPL33771247",25943,24187,17437,16156,14912,14270,25998,29608,0,"aldo-keto_reductase_family_1__member_B10__aldose_reductase","382","57016","206561_s_at","."
"AKR1B15","AKR1B15","AMPL1420019",33,19,8,12,17,16,13,21,0,"aldo-keto_reductase_family_1__member_B15","37281","441282",".","."
"AKR1C2","AKR1C2","AMPL22530899",22615,22413,13844,12152,15695,16246,21426,18754,0,"aldo-keto_reductase_family_1__member_C2","385","101930400,1646","1555854_at,204151_x_at,209699_x_at,211653_x_at,216594_x_at,244266_at","46_XY_SEX_REVERSAL_8__SRXY8"
"AKR1C3","AKR1C3","AMPL11374661",21310,20654,13957,12834,16190,16025,19070,19490,0,"aldo-keto_reductase_family_1__member_C3","386","8644","209160_at","."
"AKR1E2","AKR1E2","AMPL4863640",56,52,38,35,50,48,43,36,0,"aldo-keto_reductase_family_1__member_E2","23437","83592","1555220_a_at,223856_at,244393_x_at","."
"AKR7A2","AKR7A2","AMPL11279728",64,50,37,39,46,42,37,37,0,"aldo-keto_reductase_family_7__member_A2__aflatoxin_aldehyde_reductase","389","8574","202139_at,214259_s_at","."
"AKT1","AKT1","AMPL2201548",150,137,164,145,132,122,89,101,1,"v-akt_murine_thymoma_viral_oncogene_homolog_1","391","207","207163_s_at","BREAST_CANCER,COLORECTAL_CANCER__CRC,COWDEN_SYNDROME_6__CWS6,PROTEUS_SYNDROME"
"AKT1S1","AKT1S1","AMPL4068096",181,185,151,123,190,129,127,120,0,"AKT1_substrate_1__proline-rich","28426","84335","1555821_a_at,224982_at","."
"AKT2","AKT2","AMPL11229610",588,620,774,711,747,620,377,424,1,"v-akt_murine_thymoma_viral_oncogene_homolog_2","392","208","1560689_s_at,203809_s_at,211453_s_at,225471_s_at,226156_at,236664_at","DIABETES_MELLITUS__NONINSULIN-DEPENDENT__NIDDM,HYPOINSULINEMIC_HYPOGLYCEMIA_WITH_HEMIHYPERTROPHY__HIHGHH"
"AKT3","AKT3","AMPL27377045",437,353,325,330,439,712,345,350,0,"v-akt_murine_thymoma_viral_oncogene_homolog_3","393","10000","212607_at,212609_s_at,219393_s_at,222880_at,224229_s_at,242879_x_at","MEGALENCEPHALY-POLYMICROGYRIA-POLYDACTYLY-HYDROCEPHALUS_SYNDROME_"
"AKTIP","AKTIP","AMPL36896400",199,223,131,130,219,232,195,193,0,"AKT_interacting_protein","16710","64400","218373_at,223894_s_at","."
"ALAD","ALAD","AMPL3480870",54,31,37,31,47,32,26,27,0,"aminolevulinate_dehydratase","395","210","218487_at,218489_s_at","PORPHYRIA__ACUTE_HEPATIC"
"ALAS1","ALAS1","AMPL22069278",117,88,132,115,99,97,123,83,0,"aminolevulinate__delta-__synthase_1","396","211","205633_s_at","."
"ALCAM","ALCAM","AMPL11858852",379,349,207,222,275,314,208,219,0,"activated_leukocyte_cell_adhesion_molecule","400","214","1569362_at,201951_at,201952_at,240655_at","."
"ALDH16A1","ALDH16A1","AMPL18045969",60,39,79,68,60,63,47,38,0,"aldehyde_dehydrogenase_16_family__member_A1","28114","126133","227592_at","."
"ALDH18A1","ALDH18A1","AMPL7037388",180,157,107,126,122,128,220,195,0,"aldehyde_dehydrogenase_18_family__member_A1","9722","5832","222416_at","CUTIS_LAXA__AUTOSOMAL_RECESSIVE__TYPE_IIIA__ARCL3A"
"ALDH1A1","ALDH1A1","AMPL2584612",21542,22985,9740,10049,14843,18304,19301,20567,0,"aldehyde_dehydrogenase_1_family__member_A1","402","216","212224_at","."
"ALDH1A3","ALDH1A3","AMPL4077113",23,21,11,15,14,19,7,13,0,"aldehyde_dehydrogenase_1_family__member_A3","409","220","203180_at","MICROPHTHALMIA__ISOLATED_8__MCOP8"
"ALDH1B1","ALDH1B1","AMPL1645600",38,40,45,27,40,31,32,15,0,"aldehyde_dehydrogenase_1_family__member_B1","407","219","209645_s_at,209646_x_at","."
"ALDH1L2","ALDH1L2","AMPL2106051",22,21,18,9,21,40,17,16,0,"aldehyde_dehydrogenase_1_family__member_L2","26777","160428","1556841_a_at,1559393_at,231202_at","."
"ALDH2","ALDH2","AMPL5946293",461,363,253,322,361,293,295,336,1,"aldehyde_dehydrogenase_2_family__mitochondrial","404","217","201425_at","ALCOHOL_SENSITIVITY__ACUTE,ALDEHYDE_DEHYDROGENASE_2_FAMILY__ALDH2"
"ALDH3A1","ALDH3A1","AMPL5433752",7757,6364,3439,3476,5480,4268,4411,5450,0,"aldehyde_dehydrogenase_3_family__member_A1","405","218","205623_at","."
"ALDH3A2","ALDH3A2","AMPL403274",63,61,48,34,53,39,43,55,0,"aldehyde_dehydrogenase_3_family__member_A2","403","224","202053_s_at,202054_s_at,210544_s_at","SJOGREN-LARSSON_SYNDROME__SLS"
"ALDH3B1","ALDH3B1","AMPL2399513",289,217,161,146,270,202,110,101,0,"aldehyde_dehydrogenase_3_family__member_B1","410","221","1565731_at,205640_at,211004_s_at","."
